imoveis,IPTU,area_m,IPTU_m,classificacao
Imovel 036,"R$ 9,535.00",240,R$ 39.73,Nobre
Imovel 037,"R$ 8,100.00",210,R$ 38.57,Nobre
Imovel 038,"R$ 9,835.00",242,R$ 40.64,Nobre
Imovel 039,"R$ 8,365.00",218,R$ 38.37,Nobre
Imovel 040,"R$ 6,690.00",184,R$ 36.36,Média
Imovel 041,"R$ 4,905.00",149,R$ 32.92,Média
Imovel 042,"R$ 9,095.00",229,R$ 39.72,Nobre
Imovel 043,"R$ 7,400.00",201,R$ 36.82,Média
Imovel 044,"R$ 3,940.00",124,R$ 31.77,Média
Imovel 045,"R$ 4,385.00",141,R$ 31.10,Média
Imovel 046,"R$ 7,800.00",208,R$ 37.50,Média
Imovel 047,"R$ 9,390.00",237,R$ 39.62,Nobre
Imovel 048,"R$ 6,360.00",169,R$ 37.63,Média
Imovel 049,"R$ 6,260.00",169,R$ 37.04,Média
Imovel 050,"R$ 9,885.00",242,R$ 40.85,Nobre
Imovel 051,"R$ 1,460.00",79,R$ 18.48,Popular
Imovel 052,R$ 375.00,61,R$ 6.15,Popular
Imovel 053,"R$ 1,520.00",84,R$ 18.10,Popular
Imovel 054,"R$ 5,865.00",160,R$ 36.66,Média
Imovel 055,"R$ 2,290.00",102,R$ 22.45,Popular
Imovel 056,"R$ 4,185.00",136,R$ 30.77,Média
Imovel 057,"R$ 1,700.00",98,R$ 17.35,Popular
Imovel 058,"R$ 6,095.00",161,R$ 37.86,Média
Imovel 059,"R$ 5,210.00",150,R$ 34.73,Média
Imovel 060,"R$ 3,605.00",122,R$ 29.55,Média
Imovel 061,"R$ 6,610.00",181,R$ 36.52,Média
Imovel 062,"R$ 4,445.00",143,R$ 31.08,Média
Imovel 063,"R$ 5,250.00",154,R$ 34.09,Média
Imovel 064,"R$ 8,875.00",221,R$ 40.16,Nobre
Imovel 065,"R$ 5,735.00",157,R$ 36.53,Média
Imovel 066,"R$ 4,495.00",148,R$ 30.37,Média
Imovel 067,"R$ 9,915.00",248,R$ 39.98,Nobre
Imovel 068,"R$ 1,505.00",82,R$ 18.35,Popular
Imovel 069,"R$ 7,195.00",194,R$ 37.09,Média
Imovel 070,"R$ 1,550.00",85,R$ 18.24,Popular
Imovel 071,"R$ 2,590.00",111,R$ 23.33,Popular
Imovel 072,"R$ 2,105.00",101,R$ 20.84,Popular
Imovel 073,"R$ 9,300.00",237,R$ 39.24,Nobre
Imovel 074,"R$ 9,580.00",240,R$ 39.92,Nobre
Imovel 075,"R$ 1,380.00",76,R$ 18.16,Popular
Imovel 076,"R$ 2,420.00",108,R$ 22.41,Popular
Imovel 077,"R$ 4,130.00",134,R$ 30.82,Média
Imovel 078,"R$ 9,115.00",232,R$ 39.29,Nobre
Imovel 079,"R$ 1,010.00",71,R$ 14.23,Popular
Imovel 080,"R$ 5,215.00",152,R$ 34.31,Média
Imovel 081,"R$ 6,425.00",180,R$ 35.69,Média
Imovel 082,"R$ 8,860.00",221,R$ 40.09,Nobre
Imovel 083,"R$ 6,685.00",184,R$ 36.33,Média
Imovel 084,"R$ 6,120.00",161,R$ 38.01,Nobre
Imovel 085,"R$ 2,315.00",108,R$ 21.44,Popular
Imovel 086,"R$ 8,610.00",219,R$ 39.32,Nobre
Imovel 087,"R$ 1,990.00",101,R$ 19.70,Popular
Imovel 088,"R$ 2,820.00",114,R$ 24.74,Popular
Imovel 089,"R$ 1,665.00",89,R$ 18.71,Popular
Imovel 090,R$ 575.00,67,R$ 8.58,Popular
Imovel 091,"R$ 9,790.00",241,R$ 40.62,Nobre
Imovel 092,"R$ 5,340.00",156,R$ 34.23,Média
Imovel 093,"R$ 3,545.00",118,R$ 30.04,Média
Imovel 094,"R$ 7,160.00",189,R$ 37.88,Média
Imovel 095,"R$ 3,775.00",124,R$ 30.44,Média
Imovel 096,"R$ 1,930.00",99,R$ 19.49,Popular
Imovel 097,"R$ 5,895.00",160,R$ 36.84,Média
Imovel 098,"R$ 1,630.00",85,R$ 19.18,Popular
Imovel 099,"R$ 6,970.00",187,R$ 37.27,Média
Imovel 100,R$ 935.00,70,R$ 13.36,Popular
